night,plan_archive_available,plan_active_acquired_cohort,plan_exposure_n,acquired_strict_frame_n,plan_active_acquired_frame_denominator_n,plan_active_cohort_matched_frame_n,plan_active_acquired_not_matched_n,full_interval_acquired_without_plan_archive_n,multiset_matched_frame_n,planned_not_acquired_n,acquired_not_planned_n,acquired_frame_plan_compliance,planned_frame_realization,planned_unique_field_n,acquired_unique_field_n,actual_time_available_n,matched_pair_with_two_times_n,abs_time_residual_median_s,abs_time_residual_p90_s,planned_revisit_interval_n,planned_revisit_interval_median_s,actual_revisit_interval_n,actual_revisit_interval_median_s,planned_revisit_baseline_n,planned_revisit_baseline_median_s,actual_revisit_baseline_n,actual_revisit_baseline_median_s,actual_gap_proxy_n,actual_gap_proxy_median_s,actual_gap_proxy_p90_s,matched_with_l2_n,normal_planned_n,normal_matched_n,normal_planned_realization,near_sun_planned_n,near_sun_matched_n,near_sun_planned_realization,followup_planned_n,followup_matched_n,followup_planned_realization,quality_code,quality_reason,primary_science_included,near_sun_selection_status,history_feedback_status,attribution_limit,input_manifest_hash
20251128,False,False,0,111,0,0,0,111,0,0,111,,,0,57,110,0,,,0,,0,,0,,0,,109,53.543000000000006,70.09700000000001,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251129,False,False,0,140,0,0,0,140,0,0,140,,,0,49,139,0,,,0,,0,,0,,0,,138,51.3565,65.65979999999999,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251130,False,False,0,157,0,0,0,157,0,0,157,,,0,50,157,0,,,0,,0,,0,,0,,156,55.705,67.82300000000001,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251201,False,False,0,39,0,0,0,39,0,0,39,,,0,39,39,0,,,0,,0,,0,,0,,38,55.873000000000005,81.56030000000001,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251202,False,False,0,156,0,0,0,156,0,0,156,,,0,50,156,0,,,0,,0,,0,,0,,155,49.857,97.48659999999977,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251203,False,False,0,424,0,0,0,424,0,0,424,,,0,150,424,0,,,0,,0,,0,,0,,423,52.179,66.5888,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251204,False,False,0,448,0,0,0,448,0,0,448,,,0,163,448,0,,,0,,0,,0,,0,,447,52.578,70.8322,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251205,False,False,0,462,0,0,0,462,0,0,462,,,0,156,462,0,,,0,,0,,0,,0,,461,51.790000000000006,69.72,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251206,False,False,0,371,0,0,0,371,0,0,371,,,0,138,360,0,,,0,,0,,0,,0,,359,53.428,72.59419999999997,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251207,False,False,0,493,0,0,0,493,0,0,493,,,0,167,468,0,,,0,,0,,0,,0,,467,56.574,87.21279999999999,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251208,False,False,0,382,0,0,0,382,0,0,382,,,0,175,382,0,,,0,,0,,0,,0,,381,56.985,78.47,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251209,False,False,0,484,0,0,0,484,0,0,484,,,0,164,474,0,,,0,,0,,0,,0,,473,53.150999999999996,69.578,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251210,False,False,0,418,0,0,0,418,0,0,418,,,0,151,417,0,,,0,,0,,0,,0,,416,54.6195,77.845,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251211,False,False,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,0,,0,,0,,0,,,0,0,0,,0,0,,0,0,,no_strict_raw,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251212,False,False,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,0,,0,,0,,0,,,0,0,0,,0,0,,0,0,,no_strict_raw,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251213,False,False,0,441,0,0,0,441,0,0,441,,,0,183,375,0,,,0,,0,,0,,0,,374,55.599000000000004,83.69839999999999,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251214,False,False,0,268,0,0,0,268,0,0,268,,,0,94,268,0,,,0,,0,,0,,0,,267,53.69799999999999,82.57820000000001,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251215,False,False,0,444,0,0,0,444,0,0,444,,,0,154,444,0,,,0,,0,,0,,0,,443,55.67,97.1342,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251216,False,False,0,431,0,0,0,431,0,0,431,,,0,164,431,0,,,0,,0,,0,,0,,430,56.3805,97.53640000000001,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251217,False,False,0,443,0,0,0,443,0,0,443,,,0,143,436,0,,,0,,0,,0,,0,,435,53.646,99.48980000000007,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251218,False,False,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,0,,0,,0,,0,,,0,0,0,,0,0,,0,0,,no_strict_raw,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251219,False,False,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,0,,0,,0,,0,,,0,0,0,,0,0,,0,0,,no_strict_raw,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251220,False,False,0,506,0,0,0,506,0,0,506,,,0,175,506,0,,,0,,0,,0,,0,,505,52.509,70.8216,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251221,False,False,0,293,0,0,0,293,0,0,293,,,0,117,284,0,,,0,,0,,0,,0,,283,51.870000000000005,67.82719999999999,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251222,False,False,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,0,,0,,0,,0,,,0,0,0,,0,0,,0,0,,no_strict_raw,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251223,False,False,0,306,0,0,0,306,0,0,306,,,0,102,306,0,,,0,,0,,0,,0,,305,53.57299999999999,80.0562,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251224,False,False,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,0,,0,,0,,0,,,0,0,0,,0,0,,0,0,,no_strict_raw,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251225,False,False,0,328,0,0,0,328,0,0,328,,,0,108,328,0,,,0,,0,,0,,0,,327,53.315,70.835,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251226,False,False,0,627,0,0,0,627,0,0,627,,,0,183,627,0,,,0,,0,,0,,0,,626,52.091499999999996,70.7645,0,0,0,,0,0,,0,0,,quarantine_unknown,high_candidate_count_366,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251227,False,False,0,474,0,0,0,474,0,0,474,,,0,171,474,0,,,0,,0,,0,,0,,473,53.539,73.81060000000001,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251228,False,False,0,498,0,0,0,498,0,0,498,,,0,128,498,0,,,0,,0,,0,,0,,497,53.400999999999996,73.37360000000004,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251229,False,False,0,471,0,0,0,471,0,0,471,,,0,148,471,0,,,0,,0,,0,,0,,470,53.498,72.9925,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251230,False,False,0,436,0,0,0,436,0,0,436,,,0,166,427,0,,,0,,0,,0,,0,,426,52.949,70.995,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20251231,False,False,0,451,0,0,0,451,0,0,451,,,0,170,451,0,,,0,,0,,0,,0,,450,54.4855,73.4783,0,0,0,,0,0,,0,0,,quality_ok,,True,mode_label_is_end_of_night_block; current code does not retain minimum-solar-elongation ordering because the candidate list is re-sorted by RA,production history feedback was observed stalled after 20260330; recent-night cooldown and current coverage feedback must not be assumed active,plan realization and wall-clock gap diagnostics only; do not attribute unmatched frames or gaps to weather or equipment efficiency,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
